"pubid","year","volfreq","volreasn","groupmeet","donate","donateamt"
579,2007,1,NA,1,0,NA
579,2011,2,3,1,1,1
579,2013,1,NA,1,0,NA
580,2005,2,3,1,1,1
580,2007,1,NA,1,0,NA
580,2011,1,NA,2,1,1
580,2013,1,NA,1,1,2
581,2005,2,3,1,1,1
581,2007,1,NA,1,0,NA
581,2011,1,NA,1,0,NA
581,2013,1,NA,1,0,NA
582,2005,NA,NA,1,NA,NA
582,2007,1,NA,NA,1,1
582,2011,1,NA,1,0,NA
582,2013,1,NA,1,NA,NA
583,2005,NA,NA,NA,NA,NA
583,2007,NA,NA,NA,NA,NA
583,2011,NA,NA,NA,NA,NA
583,2013,2,3,1,0,NA
584,2005,2,3,4,0,NA
584,2007,2,3,2,1,2
584,2011,1,NA,2,1,2
584,2013,2,2,2,1,1
585,2005,2,3,2,0,NA
585,2007,3,3,2,1,2
585,2011,1,NA,2,0,NA
585,2013,1,NA,1,0,NA
586,2005,NA,NA,NA,NA,NA
586,2007,1,NA,1,0,NA
586,2011,3,3,1,1,1
586,2013,2,3,2,0,NA
587,2005,1,NA,1,1,1
587,2007,1,NA,1,1,1
587,2011,1,NA,1,0,NA
587,2013,1,NA,1,0,NA
588,2005,1,NA,1,0,NA
588,2007,4,NA,NA,1,4
588,2011,NA,NA,NA,NA,NA
588,2013,NA,NA,NA,NA,NA
589,2005,4,3,1,0,NA
589,2007,1,NA,1,0,NA
589,2011,1,NA,1,0,NA
589,2013,1,NA,1,0,NA
590,2005,1,NA,1,0,NA
590,2007,1,NA,1,0,NA
590,2011,1,NA,1,0,NA
590,2013,1,NA,1,0,NA
591,2005,4,3,1,0,NA
591,2007,4,3,1,0,NA
591,2011,4,3,4,1,2
591,2013,4,2,2,1,1
592,2005,1,NA,1,0,NA
592,2007,1,NA,1,0,NA
592,2011,1,NA,1,0,NA
592,2013,1,NA,1,0,NA
593,2005,NA,NA,NA,NA,NA
593,2007,NA,NA,NA,NA,NA
593,2011,NA,NA,NA,NA,NA
593,2013,NA,NA,NA,NA,NA
594,2005,1,NA,1,0,NA
594,2007,1,NA,1,0,NA
594,2011,1,NA,1,0,NA
594,2013,1,NA,1,0,NA
595,2005,2,3,2,1,2
595,2007,2,3,1,0,NA
595,2011,1,NA,1,0,NA
595,2013,1,NA,1,0,NA
596,2005,NA,NA,NA,NA,NA
596,2007,1,NA,1,1,1
596,2011,NA,NA,NA,NA,NA
596,2013,NA,NA,NA,NA,NA
597,2005,NA,NA,NA,NA,NA
597,2007,NA,NA,NA,NA,NA
597,2011,NA,NA,NA,NA,NA
597,2013,3,2,1,0,NA
598,2005,2,3,2,0,NA
598,2007,2,2,1,0,NA
598,2011,1,NA,1,0,NA
598,2013,1,NA,1,0,NA
599,2005,4,3,2,NA,NA
599,2007,4,3,1,1,1
599,2011,4,3,1,1,2
599,2013,4,3,1,0,NA
600,2005,1,NA,1,1,2
600,2007,1,NA,1,0,NA
600,2011,1,NA,1,0,NA
600,2013,2,3,1,1,1
601,2005,1,NA,1,0,NA
601,2007,1,NA,1,1,1
601,2011,1,NA,1,0,NA
601,2013,NA,NA,NA,0,NA
602,2005,1,NA,1,0,NA
602,2007,1,NA,1,0,NA
602,2011,1,NA,1,NA,NA
602,2013,NA,NA,1,0,NA
603,2005,NA,NA,NA,NA,NA
603,2007,1,NA,1,0,NA
603,2011,1,NA,1,0,NA
603,2013,NA,NA,1,0,NA
604,2005,1,NA,1,0,NA
604,2007,1,NA,1,0,NA
604,2011,1,NA,1,0,NA
604,2013,1,NA,1,0,NA
605,2005,1,NA,1,0,NA
605,2007,1,NA,1,0,NA
605,2011,3,3,1,0,NA
605,2013,1,NA,1,1,1
606,2005,3,1,1,0,NA
606,2007,1,NA,1,0,NA
606,2011,1,NA,1,0,NA
606,2013,1,NA,1,0,NA
607,2005,1,NA,1,0,NA
607,2007,1,NA,1,0,NA
607,2011,3,3,1,0,NA
607,2013,NA,NA,NA,NA,NA
608,2005,1,NA,1,0,NA
608,2007,1,NA,1,0,NA
608,2011,1,NA,1,0,NA
608,2013,1,NA,1,0,NA
609,2005,NA,NA,NA,NA,NA
609,2007,1,NA,3,0,NA
609,2011,1,NA,2,0,NA
609,2013,1,NA,1,1,1
610,2005,2,3,3,1,1
610,2007,1,NA,1,0,NA
610,2011,2,3,1,0,NA
610,2013,1,NA,1,0,NA
611,2005,1,NA,1,0,NA
611,2007,1,NA,1,0,NA
611,2011,NA,NA,NA,NA,NA
611,2013,1,NA,1,0,NA
612,2005,2,3,1,0,NA
612,2007,2,3,2,0,NA
612,2011,2,3,2,0,NA
612,2013,2,3,NA,1,2
613,2005,1,NA,1,0,NA
613,2007,1,NA,1,0,NA
613,2011,1,NA,1,0,NA
613,2013,1,NA,1,0,NA
614,2005,NA,NA,NA,NA,NA
614,2007,2,3,1,0,NA
614,2011,1,NA,1,0,NA
614,2013,1,NA,1,0,NA
615,2005,NA,NA,NA,NA,NA
615,2007,NA,NA,NA,NA,NA
615,2011,NA,NA,NA,NA,NA
615,2013,NA,NA,NA,NA,NA
616,2005,4,3,1,0,NA
616,2007,NA,NA,NA,NA,NA
616,2011,NA,NA,NA,NA,NA
616,2013,NA,NA,NA,NA,NA
617,2005,4,2,1,0,NA
617,2007,1,NA,1,1,1
617,2011,2,3,1,0,NA
617,2013,2,3,2,1,1
618,2005,1,NA,1,0,NA
618,2007,1,NA,1,1,NA
618,2011,1,NA,1,0,NA
618,2013,1,NA,1,0,NA
619,2005,1,NA,1,0,NA
619,2007,2,3,2,0,NA
619,2011,2,3,2,1,1
619,2013,2,3,1,1,1
620,2005,NA,NA,NA,NA,NA
620,2007,NA,NA,NA,NA,NA
620,2011,NA,NA,NA,NA,NA
620,2013,NA,NA,NA,NA,NA
621,2005,NA,NA,NA,NA,NA
621,2007,NA,NA,NA,NA,NA
621,2011,1,NA,1,0,NA
621,2013,2,NA,1,0,NA
622,2005,1,NA,1,1,NA
622,2007,1,NA,1,0,NA
622,2011,NA,NA,NA,NA,NA
622,2013,1,NA,1,0,NA
623,2005,2,3,1,0,NA
623,2007,NA,NA,NA,NA,NA
623,2011,2,3,1,1,2
623,2013,NA,NA,NA,NA,NA
624,2005,NA,NA,NA,NA,NA
624,2007,2,3,1,0,NA
624,2011,4,3,2,1,1
624,2013,4,3,1,0,NA
625,2005,2,3,2,1,NA
625,2007,1,NA,1,1,1
625,2011,1,NA,1,0,NA
625,2013,1,NA,1,0,NA
626,2005,1,NA,1,0,NA
626,2007,1,NA,1,0,NA
626,2011,1,NA,1,0,NA
626,2013,2,3,2,0,NA
627,2005,2,3,1,0,NA
627,2007,1,NA,1,0,NA
627,2011,1,NA,1,0,NA
627,2013,1,NA,1,0,NA
628,2005,1,NA,1,0,NA
628,2007,NA,NA,NA,NA,NA
628,2011,1,NA,1,0,NA
628,2013,1,NA,1,0,NA
629,2005,1,NA,1,1,2
629,2007,1,NA,1,0,NA
629,2011,1,NA,1,0,NA
629,2013,NA,NA,NA,NA,NA
630,2005,2,3,1,0,NA
630,2007,2,3,1,0,NA
630,2011,2,3,1,1,2
630,2013,4,3,1,1,4
631,2005,NA,NA,NA,NA,NA
631,2007,NA,NA,NA,NA,NA
631,2011,1,NA,1,0,NA
631,2013,NA,NA,NA,NA,NA
632,2005,2,3,1,0,NA
632,2007,2,3,1,1,2
632,2011,2,3,1,0,NA
632,2013,3,3,1,0,NA
633,2005,2,3,1,0,NA
633,2007,1,NA,1,0,NA
633,2011,2,3,1,0,NA
633,2013,2,3,1,1,2
634,2005,NA,NA,NA,NA,NA
634,2007,NA,NA,NA,NA,NA
634,2011,NA,NA,NA,NA,NA
634,2013,4,3,4,1,4
635,2005,1,NA,1,1,1
635,2007,1,NA,1,1,1
635,2011,1,NA,1,0,NA
635,2013,2,3,1,NA,NA
636,2005,NA,NA,NA,NA,NA
636,2007,1,NA,1,0,NA
636,2011,1,NA,1,0,NA
636,2013,1,NA,1,0,NA
637,2005,2,NA,1,0,NA
637,2007,4,3,2,1,1
637,2011,3,3,3,1,1
637,2013,4,3,3,1,2
638,2005,1,NA,1,0,NA
638,2007,1,NA,1,0,NA
638,2011,1,NA,1,0,NA
638,2013,1,NA,1,0,NA
639,2005,2,3,1,0,NA
639,2007,2,3,2,0,NA
639,2011,3,3,2,0,NA
639,2013,3,3,2,0,NA
640,2005,1,NA,2,0,NA
640,2007,2,3,1,1,1
640,2011,2,3,2,0,NA
640,2013,2,3,2,1,2
641,2005,NA,NA,NA,NA,NA
641,2007,4,3,1,1,2
641,2011,3,3,2,1,3
641,2013,4,3,4,1,NA
642,2005,1,NA,1,0,NA
642,2007,1,NA,1,0,NA
642,2011,1,NA,1,0,NA
642,2013,1,NA,1,0,NA
643,2005,1,NA,1,0,NA
643,2007,1,NA,1,0,NA
643,2011,1,NA,1,0,NA
643,2013,1,NA,1,0,NA
644,2005,1,NA,1,0,NA
644,2007,NA,NA,NA,NA,NA
644,2011,NA,NA,NA,NA,NA
644,2013,NA,NA,NA,NA,NA
645,2005,2,NA,1,0,NA
645,2007,NA,NA,NA,NA,NA
645,2011,NA,NA,NA,NA,NA
645,2013,NA,NA,NA,NA,NA
646,2005,NA,NA,NA,NA,NA
646,2007,NA,NA,NA,NA,NA
646,2011,NA,NA,NA,NA,NA
646,2013,NA,NA,NA,NA,NA
647,2005,2,3,2,1,1
647,2007,2,3,2,1,1
647,2011,2,3,2,1,1
647,2013,2,3,2,1,1
648,2005,1,NA,2,1,1
648,2007,1,NA,1,1,NA
648,2011,3,3,2,0,NA
648,2013,2,3,1,0,NA
649,2005,2,3,1,1,1
649,2007,1,NA,1,0,NA
649,2011,1,NA,2,1,2
649,2013,2,3,1,0,NA
650,2005,1,NA,1,0,NA
650,2007,2,2,1,0,NA
650,2011,1,NA,1,0,NA
650,2013,1,NA,1,0,NA
651,2005,1,NA,2,1,2
651,2007,1,NA,1,0,NA
651,2011,NA,NA,NA,NA,NA
651,2013,NA,NA,NA,NA,NA
652,2005,2,3,1,1,1
652,2007,2,3,1,1,4
652,2011,1,NA,1,0,NA
652,2013,1,NA,1,1,2
653,2005,NA,NA,1,0,NA
653,2007,2,3,1,0,NA
653,2011,1,NA,1,0,NA
653,2013,4,3,4,NA,NA
654,2005,2,3,2,0,NA
654,2007,1,NA,1,1,2
654,2011,1,NA,1,1,1
654,2013,2,3,2,0,NA
655,2005,1,NA,1,0,NA
655,2007,1,NA,1,0,NA
655,2011,NA,NA,NA,NA,NA
655,2013,1,NA,1,0,NA
656,2005,2,3,1,0,NA
656,2007,1,NA,1,0,NA
656,2011,1,NA,1,0,NA
656,2013,1,NA,1,1,1
657,2005,NA,NA,NA,NA,NA
657,2007,NA,NA,NA,NA,NA
657,2011,NA,NA,NA,NA,NA
657,2013,NA,NA,NA,NA,NA
658,2005,1,NA,1,0,NA
658,2007,1,NA,1,0,NA
658,2011,1,NA,1,1,1
658,2013,1,NA,1,1,1
659,2005,1,NA,1,0,NA
659,2007,1,NA,1,0,NA
659,2011,1,NA,1,1,1
659,2013,NA,NA,NA,NA,NA
660,2005,1,NA,1,0,NA
660,2007,1,NA,1,0,NA
660,2011,1,NA,1,0,NA
660,2013,2,1,1,0,NA
661,2005,1,NA,1,0,NA
661,2007,2,3,2,1,1
661,2011,1,NA,1,0,NA
661,2013,2,3,NA,1,1
662,2005,2,2,2,1,1
662,2007,2,3,1,1,1
662,2011,1,NA,1,0,NA
662,2013,1,NA,1,1,3
663,2005,1,NA,1,0,NA
663,2007,1,NA,1,0,NA
663,2011,1,NA,1,1,1
663,2013,1,NA,1,0,NA
664,2005,1,NA,1,0,NA
664,2007,1,NA,1,0,NA
664,2011,1,NA,1,0,NA
664,2013,3,1,1,0,NA
665,2005,NA,NA,NA,NA,NA
665,2007,NA,NA,NA,NA,NA
665,2011,NA,NA,NA,NA,NA
665,2013,4,3,2,0,NA
666,2005,2,3,2,0,NA
666,2007,2,3,2,1,4
666,2011,2,3,3,0,NA
666,2013,2,3,2,1,2
667,2005,1,NA,1,1,1
667,2007,1,NA,1,0,NA
667,2011,2,3,1,0,NA
667,2013,2,3,2,1,1
668,2005,3,2,2,0,NA
668,2007,2,3,2,1,3
668,2011,2,3,2,1,2
668,2013,2,3,2,1,4
669,2005,1,NA,1,0,NA
669,2007,1,NA,1,0,NA
669,2011,1,NA,1,1,1
669,2013,2,3,1,1,3
670,2005,NA,NA,NA,NA,NA
670,2007,3,3,2,0,NA
670,2011,2,3,1,0,NA
670,2013,4,3,2,0,NA
671,2005,1,NA,1,0,NA
671,2007,1,NA,1,0,NA
671,2011,1,NA,1,0,NA
671,2013,NA,NA,NA,NA,NA
672,2005,2,3,2,0,NA
672,2007,1,NA,2,1,2
672,2011,2,3,2,1,1
672,2013,2,3,2,1,2
673,2005,2,3,1,1,3
673,2007,4,3,1,1,4
673,2011,3,3,2,0,NA
673,2013,1,NA,2,1,2
674,2005,1,NA,1,0,NA
674,2007,1,NA,2,0,NA
674,2011,1,NA,2,0,NA
674,2013,2,3,2,0,NA
675,2005,NA,NA,NA,NA,NA
675,2007,1,NA,1,0,NA
675,2011,NA,NA,NA,NA,NA
675,2013,NA,NA,NA,NA,NA
676,2005,1,NA,1,0,NA
676,2007,1,NA,1,0,NA
676,2011,1,NA,1,0,NA
676,2013,1,NA,1,0,NA
677,2005,1,NA,2,1,1
677,2007,1,NA,1,0,NA
677,2011,1,NA,1,0,NA
677,2013,1,NA,2,0,NA
678,2005,1,NA,1,0,NA
678,2007,1,NA,1,0,NA
678,2011,NA,NA,NA,NA,NA
678,2013,NA,NA,NA,NA,NA
679,2005,1,NA,1,0,NA
679,2007,2,3,2,1,1
679,2011,2,3,1,0,NA
679,2013,2,3,1,1,1
680,2005,3,3,3,0,NA
680,2007,2,3,2,1,1
680,2011,4,3,4,1,1
680,2013,2,3,3,1,1
681,2005,1,NA,1,1,1
681,2007,1,NA,1,0,NA
681,2011,1,NA,1,0,NA
681,2013,NA,NA,NA,NA,NA
682,2005,4,2,1,1,2
682,2007,2,3,2,1,1
682,2011,NA,NA,NA,NA,NA
682,2013,NA,NA,NA,NA,NA
683,2005,1,NA,1,0,NA
683,2007,1,NA,1,0,NA
683,2011,NA,NA,NA,NA,NA
683,2013,2,3,1,0,NA
684,2005,1,NA,1,0,NA
684,2007,1,NA,1,0,NA
684,2011,1,NA,1,0,NA
684,2013,1,NA,1,0,NA
685,2005,1,NA,1,0,NA
685,2007,1,NA,1,0,NA
685,2011,1,NA,1,0,NA
685,2013,1,NA,1,0,NA
686,2005,2,3,1,0,NA
686,2007,1,NA,1,0,NA
686,2011,1,NA,1,0,NA
686,2013,4,3,2,0,NA
687,2005,1,NA,1,0,NA
687,2007,1,NA,1,0,NA
687,2011,1,NA,1,0,NA
687,2013,1,NA,2,1,1
688,2005,1,NA,2,0,NA
688,2007,1,NA,1,0,NA
688,2011,1,NA,1,0,NA
688,2013,NA,NA,NA,NA,NA
689,2005,1,NA,1,1,1
689,2007,1,NA,1,1,1
689,2011,1,NA,1,0,NA
689,2013,1,NA,1,0,NA
690,2005,2,3,1,0,NA
690,2007,2,3,1,0,NA
690,2011,2,3,1,0,NA
690,2013,2,3,1,0,NA
691,2005,1,NA,1,0,NA
691,2007,1,NA,1,0,NA
691,2011,1,NA,1,0,NA
691,2013,2,3,2,0,NA
692,2005,2,3,1,1,1
692,2007,2,3,2,1,1
692,2011,1,NA,1,1,1
692,2013,NA,NA,NA,0,NA
693,2005,NA,NA,1,0,NA
693,2007,1,NA,1,1,1
693,2011,1,NA,1,0,NA
693,2013,1,NA,1,0,NA
694,2005,1,NA,1,0,NA
694,2007,1,NA,1,0,NA
694,2011,1,NA,1,0,NA
694,2013,1,NA,1,0,NA
695,2005,1,NA,2,1,2
695,2007,2,3,1,1,2
695,2011,NA,NA,NA,NA,NA
695,2013,NA,NA,NA,NA,NA
696,2005,1,NA,1,0,NA
696,2007,NA,NA,NA,NA,NA
696,2011,1,NA,1,0,NA
696,2013,NA,NA,NA,NA,NA
697,2005,NA,NA,NA,NA,NA
697,2007,NA,NA,NA,NA,NA
697,2011,NA,NA,NA,NA,NA
697,2013,NA,NA,NA,NA,NA
698,2005,2,3,2,1,1
698,2007,NA,NA,2,1,1
698,2011,NA,NA,NA,NA,NA
698,2013,NA,NA,NA,NA,NA
699,2005,1,NA,1,0,NA
699,2007,1,NA,1,0,NA
699,2011,2,3,1,0,NA
699,2013,1,NA,1,0,NA
700,2005,1,NA,1,0,NA
700,2007,1,NA,1,0,NA
700,2011,1,NA,1,0,NA
700,2013,3,2,4,1,1
701,2005,1,NA,1,0,NA
701,2007,1,NA,1,0,NA
701,2011,1,NA,1,0,NA
701,2013,1,NA,1,0,NA
702,2005,2,3,1,0,NA
702,2007,1,NA,2,0,NA
702,2011,1,NA,1,1,1
702,2013,1,NA,1,1,2
703,2005,1,NA,1,1,1
703,2007,1,NA,1,1,1
703,2011,1,NA,1,1,1
703,2013,1,NA,1,0,NA
704,2005,2,3,1,1,1
704,2007,1,NA,1,1,4
704,2011,NA,NA,NA,NA,NA
704,2013,NA,NA,NA,NA,NA
705,2005,1,NA,1,1,1
705,2007,1,NA,1,0,NA
705,2011,2,3,1,1,1
705,2013,2,3,1,0,NA
706,2005,2,3,1,0,NA
706,2007,1,NA,1,0,NA
706,2011,1,NA,1,0,NA
706,2013,2,3,1,0,NA
707,2005,NA,NA,NA,NA,NA
707,2007,NA,NA,NA,NA,NA
707,2011,NA,NA,NA,NA,NA
707,2013,1,NA,1,0,NA
708,2005,NA,NA,NA,NA,NA
708,2007,NA,NA,NA,NA,NA
708,2011,NA,NA,NA,NA,NA
708,2013,NA,NA,NA,NA,NA
709,2005,1,NA,NA,0,NA
709,2007,NA,NA,NA,NA,NA
709,2011,NA,NA,NA,NA,NA
709,2013,NA,NA,NA,NA,NA
710,2005,2,3,4,NA,NA
710,2007,4,3,4,NA,NA
710,2011,3,3,NA,0,NA
710,2013,NA,NA,NA,NA,NA
711,2005,1,NA,1,1,1
711,2007,1,NA,1,1,1
711,2011,NA,NA,NA,NA,NA
711,2013,NA,NA,NA,NA,NA
712,2005,NA,NA,NA,NA,NA
712,2007,NA,NA,NA,NA,NA
712,2011,NA,NA,NA,NA,NA
712,2013,4,3,1,0,NA
713,2005,2,3,2,0,NA
713,2007,2,3,2,0,NA
713,2011,1,NA,2,0,NA
713,2013,1,NA,1,1,1
714,2005,2,3,2,0,NA
714,2007,NA,NA,NA,NA,NA
714,2011,2,3,1,0,NA
714,2013,NA,NA,NA,NA,NA
715,2005,1,NA,2,0,NA
715,2007,2,3,4,0,NA
715,2011,1,NA,1,0,NA
715,2013,4,2,1,0,NA
716,2005,NA,NA,NA,NA,NA
716,2007,NA,NA,NA,NA,NA
716,2011,2,3,2,0,NA
716,2013,NA,NA,NA,NA,NA
717,2005,1,NA,1,0,NA
717,2007,2,3,1,0,NA
717,2011,2,2,1,0,NA
717,2013,1,NA,1,0,NA
718,2005,NA,NA,NA,NA,NA
718,2007,3,3,1,1,1
718,2011,3,2,3,1,3
718,2013,2,3,1,0,NA
719,2005,1,NA,1,0,NA
719,2007,1,NA,1,1,1
719,2011,1,NA,2,1,1
719,2013,1,NA,1,0,NA
720,2005,1,NA,1,0,NA
720,2007,1,NA,1,0,NA
720,2011,1,NA,1,0,NA
720,2013,1,NA,1,0,NA
721,2005,1,NA,1,0,NA
721,2007,1,NA,1,1,1
721,2011,1,NA,1,0,NA
721,2013,3,3,1,0,NA
722,2005,1,NA,1,1,1
722,2007,1,NA,1,1,1
722,2011,1,NA,1,0,NA
722,2013,1,NA,1,0,NA
723,2005,2,2,1,0,NA
723,2007,2,2,1,0,NA
723,2011,1,NA,1,0,NA
723,2013,1,NA,1,0,NA
724,2005,1,NA,1,1,1
724,2007,1,NA,1,1,4
724,2011,NA,NA,NA,NA,NA
724,2013,NA,NA,NA,NA,NA
725,2005,2,3,1,0,NA
725,2007,1,NA,1,1,2
725,2011,2,3,1,1,4
725,2013,2,3,1,1,2
726,2005,2,3,2,1,1
726,2007,2,3,4,1,1
726,2011,3,3,2,1,2
726,2013,2,3,3,1,2
727,2005,3,3,4,1,2
727,2007,3,3,2,1,1
727,2011,2,3,1,1,1
727,2013,1,NA,1,1,1
728,2005,1,NA,1,1,1
728,2007,1,NA,1,1,1
728,2011,1,NA,1,1,1
728,2013,1,NA,1,0,NA
729,2005,1,NA,1,0,NA
729,2007,1,NA,1,0,NA
729,2011,1,NA,1,0,NA
729,2013,4,3,1,0,NA
730,2005,1,NA,1,0,NA
730,2007,1,NA,1,0,NA
730,2011,1,NA,1,0,NA
730,2013,2,3,1,0,NA
731,2005,2,3,1,1,2
731,2007,1,NA,1,1,2
731,2011,1,NA,1,1,2
731,2013,2,3,1,0,NA
732,2005,NA,NA,NA,NA,NA
732,2007,NA,NA,NA,NA,NA
732,2011,NA,NA,NA,NA,NA
732,2013,3,3,2,1,1
733,2005,NA,NA,NA,NA,NA
733,2007,NA,NA,NA,NA,NA
733,2011,NA,NA,NA,NA,NA
733,2013,NA,NA,NA,NA,NA
734,2005,NA,NA,NA,NA,NA
734,2007,4,3,1,1,4
734,2011,2,3,1,0,NA
734,2013,2,3,1,1,4
735,2005,NA,NA,NA,NA,NA
735,2007,NA,NA,NA,NA,NA
735,2011,2,3,1,1,4
735,2013,1,NA,2,1,1
736,2005,NA,NA,NA,NA,NA
736,2007,NA,NA,NA,NA,NA
736,2011,NA,NA,NA,NA,NA
736,2013,NA,NA,NA,NA,NA
737,2005,2,3,1,0,NA
737,2007,NA,NA,NA,NA,NA
737,2011,2,3,1,0,NA
737,2013,2,3,1,0,NA
738,2005,4,3,1,0,NA
738,2007,4,3,2,1,3
738,2011,2,3,1,0,NA
738,2013,4,3,2,1,4
739,2005,3,3,2,1,1
739,2007,1,NA,2,0,NA
739,2011,2,3,1,1,1
739,2013,2,3,1,1,1
740,2005,2,3,1,0,NA
740,2007,4,3,1,0,NA
740,2011,4,3,1,1,2
740,2013,4,3,1,0,NA
741,2005,2,3,1,0,NA
741,2007,1,NA,1,1,1
741,2011,2,3,2,0,NA
741,2013,1,NA,1,0,NA
742,2005,3,3,2,1,3
742,2007,3,3,2,0,NA
742,2011,2,3,2,1,3
742,2013,2,3,1,1,4
743,2005,1,NA,1,0,NA
743,2007,NA,NA,NA,NA,NA
743,2011,NA,NA,NA,NA,NA
743,2013,NA,NA,NA,NA,NA
744,2005,NA,NA,NA,NA,NA
744,2007,NA,NA,NA,NA,NA
744,2011,NA,NA,NA,NA,NA
744,2013,NA,NA,NA,NA,NA
745,2005,1,NA,1,1,1
745,2007,1,NA,1,0,NA
745,2011,1,NA,2,0,NA
745,2013,2,3,1,0,NA
746,2005,1,NA,1,0,NA
746,2007,1,NA,1,0,NA
746,2011,1,NA,1,1,1
746,2013,2,3,1,0,NA
747,2005,1,NA,1,0,NA
747,2007,1,NA,1,0,NA
747,2011,NA,NA,NA,NA,NA
747,2013,NA,NA,NA,NA,NA
748,2005,1,NA,1,0,NA
748,2007,1,NA,1,0,NA
748,2011,2,3,1,0,NA
748,2013,3,3,1,0,NA
749,2005,2,3,1,0,NA
749,2007,NA,NA,2,0,NA
749,2011,2,2,2,0,NA
749,2013,2,NA,NA,NA,NA
750,2005,2,3,1,0,NA
750,2007,1,NA,1,0,NA
750,2011,3,2,3,0,NA
750,2013,4,NA,1,0,NA
751,2005,4,NA,NA,NA,NA
751,2007,1,NA,1,0,NA
751,2011,2,3,1,0,NA
751,2013,NA,NA,1,0,NA
752,2005,1,NA,1,0,NA
752,2007,2,NA,1,0,NA
752,2011,1,NA,1,0,NA
752,2013,2,NA,1,0,NA
753,2005,1,NA,1,0,NA
753,2007,1,NA,2,0,NA
753,2011,1,NA,1,0,NA
753,2013,2,NA,1,0,NA
754,2005,1,NA,1,0,NA
754,2007,NA,NA,NA,NA,NA
754,2011,1,NA,2,0,NA
754,2013,2,3,2,1,2
755,2005,NA,NA,NA,NA,NA
755,2007,NA,NA,NA,NA,NA
755,2011,NA,NA,NA,NA,NA
755,2013,1,NA,1,1,2
756,2005,NA,NA,NA,NA,NA
756,2007,NA,NA,NA,NA,NA
756,2011,NA,NA,NA,NA,NA
756,2013,NA,NA,NA,NA,NA
757,2005,1,NA,1,0,NA
757,2007,1,NA,1,0,NA
757,2011,1,NA,1,0,NA
757,2013,1,NA,1,1,1
758,2005,1,NA,1,0,NA
758,2007,NA,NA,NA,NA,NA
758,2011,NA,NA,NA,NA,NA
758,2013,NA,NA,NA,NA,NA
759,2005,1,NA,1,0,NA
759,2007,1,NA,1,0,NA
759,2011,2,3,2,1,1
759,2013,NA,NA,NA,NA,NA
760,2005,NA,NA,NA,NA,NA
760,2007,NA,NA,NA,NA,NA
760,2011,NA,NA,NA,NA,NA
760,2013,NA,NA,NA,NA,NA
761,2005,NA,NA,NA,NA,NA
761,2007,NA,NA,NA,NA,NA
761,2011,1,NA,1,0,NA
761,2013,NA,NA,NA,NA,NA
762,2005,NA,NA,NA,NA,NA
762,2007,NA,NA,NA,NA,NA
762,2011,1,NA,1,0,NA
762,2013,1,NA,1,0,NA
763,2005,1,NA,1,0,NA
763,2007,2,3,1,0,NA
763,2011,2,3,2,0,NA
763,2013,2,3,1,NA,NA
764,2005,1,NA,1,0,NA
764,2007,1,NA,1,0,NA
764,2011,1,NA,1,0,NA
764,2013,1,NA,1,0,NA
765,2005,2,3,1,1,1
765,2007,1,NA,1,1,2
765,2011,1,NA,1,1,1
765,2013,1,NA,1,1,1
766,2005,NA,NA,NA,NA,NA
766,2007,NA,NA,NA,NA,NA
766,2011,NA,NA,NA,NA,NA
766,2013,NA,NA,NA,NA,NA
767,2005,4,3,4,1,4
767,2007,2,3,1,1,2
767,2011,NA,NA,NA,NA,NA
767,2013,NA,NA,NA,NA,NA
768,2005,1,NA,1,0,NA
768,2007,1,NA,1,0,NA
768,2011,1,NA,1,0,NA
768,2013,1,NA,1,0,NA
769,2005,1,NA,1,0,NA
769,2007,1,NA,1,0,NA
769,2011,1,NA,1,0,NA
769,2013,2,3,1,1,2
770,2005,NA,NA,NA,NA,NA
770,2007,4,3,1,1,2
770,2011,4,3,3,1,3
770,2013,NA,NA,NA,NA,NA
771,2005,2,3,1,1,1
771,2007,2,2,1,0,NA
771,2011,2,3,1,0,NA
771,2013,2,3,1,1,1
772,2005,2,3,1,0,NA
772,2007,NA,NA,NA,NA,NA
772,2011,NA,NA,NA,NA,NA
772,2013,NA,NA,NA,NA,NA
773,2005,1,NA,1,0,NA
773,2007,1,NA,1,1,1
773,2011,NA,NA,NA,NA,NA
773,2013,1,NA,1,0,NA
774,2005,2,3,1,0,NA
774,2007,1,NA,1,0,NA
774,2011,1,NA,1,1,4
774,2013,3,3,2,0,NA
775,2005,NA,NA,NA,NA,NA
775,2007,1,NA,4,0,NA
775,2011,2,3,2,1,1
775,2013,2,3,2,1,1
776,2005,NA,NA,NA,NA,NA
776,2007,NA,NA,NA,NA,NA
776,2011,NA,NA,NA,NA,NA
776,2013,NA,NA,NA,NA,NA
777,2005,1,NA,1,0,NA
777,2007,1,NA,1,0,NA
777,2011,1,NA,1,1,1
777,2013,1,NA,1,1,1
778,2005,NA,NA,NA,NA,NA
778,2007,2,1,1,0,NA
778,2011,NA,NA,NA,NA,NA
778,2013,1,NA,1,0,NA
779,2005,NA,NA,NA,NA,NA
779,2007,3,3,1,0,NA
779,2011,NA,NA,NA,NA,NA
779,2013,NA,NA,NA,NA,NA
780,2005,1,NA,1,0,NA
780,2007,1,NA,1,0,NA
780,2011,1,NA,1,0,NA
780,2013,NA,NA,NA,NA,NA
781,2005,2,3,1,1,2
781,2007,2,3,2,1,2
781,2011,2,3,2,1,1
781,2013,4,3,4,1,3
782,2005,2,3,1,1,1
